#;$id;libellé SEDA 2;libellé anglais
type;url;string;string
lang;;seda-2;en
url;skos:Concept;skos:prefLabel;skos:prefLabel
;;yob;Yoba
;;bqy;Bengkala Sign Language
;;nuv;Northern Nuni
;;quy;Ayacucho Quechua
;;biz;Baloi
;;bcn;Bali (Nigeria)
;;pmz;Southern Pame
;;vwa;Awa (China)
;;buj;Basa-Gurmana
;;yli;Angguruk Yali
;;bzc;Southern Betsimisaraka Malagasy
;;aua;Asumboa
;;vec;Venetian
;;mwg;Aiklep
;;mmm;Maii
;;ita;Italian
;;sod;Songoora
;;twt;Turiwára
;;gke;Ndai
;;bth;Biatah Bidayuh
;;tou;Tho
;;ewe;Ewe
;;cic;Chickasaw
;;bdv;Bodo Parja
;;ktz;Ju/'hoan
;;ndt;Ndunga
;;hke;Hunde
;;ncc;Ponam
;;jad;Jahanka
;;sua;Sulka
;;yva;Yawa
;;kkm;Kiong
;;bbx;Bubia
;;nml;Ndemli
;;mqh;Tlazoyaltepec Mixtec
;;lrz;Lemerig
;;krk;Kerek
;;dlg;Dolgan
;;igb;Ebira
;;bhy;Bhele
;;arn;Mapudungun
;;amn;Amanab
;;hka;Kahe
;;msg;Moraid
;;dln;Darlong
;;bay;Batuley
;;vel;Veluws
;;kfj;Kemiehua
;;wrh;Wiradhuri
;;tmj;Samarokena
;;sbl;Botolan Sambal
;;can;Chambri
;;kqq;Krenak
;;dws;Dutton World Speedwords
;;cmo;Central Mnong
;;buc;Bushi
;;pab;Parecís
;;kfd;Korra Koraga
;;chx;Chantyal
;;bea;Beaver
;;juu;Ju
;;tjo;Temacine Tamazight
;;xsq;Makhuwa-Saka
;;mrf;Elseng
;;ltn;Latundê
;;faa;Fasu
;;bks;Northern Sorsoganon
;;nru;Narua
;;ttq;Tawallammat Tamajaq
;;isl;Icelandic
;;bll;Biloxi
;;arc;Official Aramaic (700-300 BCE)
;;mpu;Makuráp
;;juw;Wãpha
;;vmy;Ayautla Mazatec
;;pmb;Pambia
;;myc;Mayeka
;;msk;Mansaka
;;pns;Ponosakan
;;maa;San Jerónimo Tecóatl Mazatec
;;hio;Tsoa
;;kac;Kachin
;;wiw;Wirangu
;;sax;Sa
